bus_name,hourly_rate_usd,minimum_hours,minimum_total_usd,capacity,travel_range,availability,best_for,calendar_url
Orange Juice,135,0,135,40,Wide travel (Houma Thibodaux New Orleans Baton Rouge Lafayette and surrounding South Louisiana),Bookable,Flagship parade Mardi Gras Saints game high-energy birthday biggest visual impact open-air back deck,https://link.zeromotionmarketing.com/rentals/party-on-wheels-/rl/69a73da8ab0c5f869f4e3ba8
Kuttin Loose,125,0,125,40,Wide travel (Houma Thibodaux New Orleans Baton Rouge Lafayette and surrounding South Louisiana),Bookable,Bachelor bachelorette wild night max sound max lights pub crawl concert ride loudest bus,https://link.zeromotionmarketing.com/rentals/party-on-wheels-/rl/69a78d9d7132f3629284deed
Cotton Candy,110,0,110,40,Wide travel (Houma Thibodaux New Orleans Baton Rouge Lafayette and surrounding South Louisiana),Bookable,Bachelorette sweet sixteen birthday photos wedding shuttle pink and blue best value wide-travel bus,https://link.zeromotionmarketing.com/rentals/party-on-wheels-/rl/69a78c3f85c0159b524cac2c
Rackz,120,3,360,40,Local only (Houma Thibodaux Terrebonne Lafourche within ~45 minutes of Houma),Bookable,VIP local night 30th 40th birthday bachelor party classy statement maroon exterior,https://link.zeromotionmarketing.com/rentals/party-on-wheels-/rl/69a78cd4365f5d4c30d7906f
Skittles,100,3,300,40,Local only (Houma Thibodaux Terrebonne Lafourche within ~45 minutes of Houma),Currently offline being refreshed,Club on wheels dance pole dance floor bachelorette local night cheapest hourly rate,https://link.zeromotionmarketing.com/rentals/party-on-wheels-/rl/69a78d2edcc1c11d37b7385d
